"","related_publication_id"
"362","https://doi.org/10.1007/s10641-010-9662-5"
"363","https://doi.org/10.1371/journal.pone.0004735"
"364","https://doi.org/10.1007/s004420000550"
"365","https://doi.org/10.1016/j.jasrep.2018.03.014"
"366","https://doi.org/10.1016/j.jas.2007.08.018"
"367","https://doi.org/10.1016/j.jaa.2010.01.002"
"368","https://doi.org/10.1016/j.jaa.2018.12.007"
"369","https://doi.org/10.1101/2021.04.14.439857"
"370","10.1007/978-3-319-10858-2_11"
"371","https://doi.org/10.1016/j.jasrep.2018.04.032."
"372","https://doi.org/10.1029/JZ068i008p02323"
"373","https://doi.org/10.1139/F09-015"
"374","https://doi.org/10.1130/0016-7606(1972)83[1875:SIGOGS]2.0.CO;2"
"375","https://doi.org/10.1038/nature11349."
"376","https://doi.org/10.1371/journal.pone.0248209"
"377","https://doi.org/10.1021/jf503498r"
"378","https://doi.org/10.1590/s0001-37652011000200030"
"379","http://dx.doi.org/10.1086/430243"
"380","https://doi.org/10.1016/j.jasrep.2020.102462"
"381","https://doi.org/10.1371/journal.pone.0157650"
"382","https://doi.org/10.1016/j.fishres.2023.106741"
"383","https://doi.org/10.1002/ajpa.23270"
"384","https://doi.org/10.1111/brv.12217"
"385","https://doi.org/10.1016/j.apgeochem.2008.12.018"
"386","10.1016/j.jseaes.2016.07.026"
"387","https://doi.org/10.1016/S0009-2541(02)00047-5"
"388","DOI: 10.1126/sciadv.aay2169"
"389","https://open.uct.ac.za/server/api/core/bitstreams/d66cb7de-dce5-4805-842a-de1c078da946/content"
"390","https://doi.org/10.37603/2250.7728.v20.n1.17938"
"391","https://doi.org/10.1016/j.jaa.2021.101337"
"392","https://doi.org/10.1016/j.jasrep.2018.09.019"
"393","https://doi.org/10.1029/2011JF002002"
"394","https://doi.org/10.1016/j.chemgeo.2010.02.013"
"395","https://doi.org/10.1007/s10344-007-0152-9"
"396","https://doi.org/10.1126/science.267.5202.1340"
"397","https://doi.org/10.3354/meps301279"
"398","https://doi.org/10.1007/s12520-016-0453-6"
"399","https://doi.org/10.1007/s12520-020-01240-w"
"400","https://doi.org/10.1016/j.apgeochem.2010.10.008"
"401","https://doi.org/10.1016/j.jasrep.2020.102210"
"402","https://doi.org/10.1016/j.jasrep.2018.04.023"
"403","https://doi.org/10.1016/j.gexplo.2006.12.001"
"404","https://doi.org/10.5194/bg-16-1781-2019"
"405","https://doi.org/10.1666/0094-8373(2003)029%3C0197:MTOOFA%3E2.0.CO;2"
"406","https://doi.org/10.1023/B:BIOG.0000015162.12857.3e"
"407","http://hdl.handle.net/10773/13075"
"408","https://doi.org/10.1007/s12665-023-11028-5"
"409","https://doi.org/10.1130/0016-7606"
"410","https://doi.org/10.3389/feart.2022.1094424"
"411","https://doi.org/10.1016/j.jasrep.2015.08.042"
"412","10.1577/T07-029.1"
"413","doi:10.7183/1045-6635.25.1.82"
"414","https://doi.org/10.2166/nh.1987.0002"
"415","https://doi.org/10.5194/essd-6-117-2014"
"416","https://doi.org/10.1016/j.jasrep.2021.102902"
"417","https://doi.org/10.1016/j.jas.2016.01.004"
"418","https://doi.org/10.1007/s12520-022-01640-0"
"419","https://doi.org/10.1371/journal.pone.0245222"
"420","https://doi.org/10.1002/jqs.3262"
"421","https://doi.org/10.1371/journal.pone.0113564"
"422","https://doi.org/10.1016/j.jas.2015.09.007"
"423","doi:10.1016/j.jas.2010.09.009"
"424","https://doi.org/10.1038/s41598-020-78013-x"
